Type,Test,countmaxDOWN,countmaxUP,countminDOWN,countminUP,countmeanDOWN,countmeanUP,countvarDOWN,countvarUP,indexmin,indexmax,indexmean,minminmin,minminmax,minminmean,minmaxmin,minmaxmax,minmaxmean,minmeanmin,minmeanmax,minmeanmean,maxminmin,maxminmax,maxminmean,maxmaxmin,maxmaxmax,maxmaxmean,maxmeanmin,maxmeanmax,maxmeanmean,meanminmin,meanminmax,meanminmean,meanmaxmin,meanmaxmax,meanmaxmean,meanmeanmin,meanmeanmax,meanmeanmean,"('lostPackets', 'sum')","('lostPackets', 'mean')","('timesForwarded', 'sum')","('timesForwarded', 'max')","('timesForwarded', 'mean')","('timesForwarded', 'var')",entopy_input,min_input,max_input,mean_input,var_input,entopy_output,min_output,max_output,mean_output,var_output,min_diff,max_diff,mean_diff,var_diff,entopy_normolized,min_normolized,max_normolized,mean_normolized,var_normolized,src_count,dst_count
100,0,2,37,2,32,2,35,0,5,0,5,2.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,1,2,37,2,32,2,35,0,5,6,11,8.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,10,2,37,2,32,2,35,0,5,12,17,14.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,11,2,37,2,32,2,35,0,5,18,23,20.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,12,2,37,2,32,2,35,0,5,24,29,26.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,13,2,37,2,32,2,35,0,5,30,35,32.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,14,2,37,2,32,2,35,0,5,36,41,38.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,15,2,37,2,32,2,35,0,5,42,47,44.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,16,2,37,2,32,2,35,0,5,48,53,50.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,17,2,37,2,32,2,35,0,5,54,59,56.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,18,2,37,2,32,2,35,0,5,60,65,62.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,19,2,37,2,32,2,35,0,5,66,71,68.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,2,2,37,2,32,2,35,0,5,72,77,74.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,20,2,37,2,32,2,35,0,5,78,83,80.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,21,2,37,2,32,2,35,0,5,84,89,86.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,22,2,37,2,32,2,35,0,5,90,95,92.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,23,2,37,2,32,2,35,0,5,96,101,98.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,24,2,37,2,32,2,35,0,5,102,107,104.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,25,2,37,2,32,2,35,0,5,108,113,110.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,26,2,37,2,32,2,35,0,5,114,119,116.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,27,2,37,2,32,2,35,0,5,120,125,122.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,28,2,37,2,32,2,35,0,5,126,131,128.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,29,2,37,2,32,2,35,0,5,132,137,134.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,3,2,37,2,32,2,35,0,5,138,143,140.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,30,2,37,2,32,2,35,0,5,144,149,146.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,31,2,37,2,32,2,35,0,5,150,155,152.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,32,2,37,2,32,2,35,0,5,156,161,158.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,33,2,37,2,32,2,35,0,5,162,167,164.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,34,2,37,2,32,2,35,0,5,168,173,170.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,35,2,37,2,32,2,35,0,5,174,179,176.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,36,2,37,2,32,2,35,0,5,180,185,182.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
100,37,2,37,2,32,2,35,0,5,186,191,188.5,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,1,1,1,1,3,2.1666666666666665,1.0,1.4,1.2047619047619047,0,0,22,22,2.75,60.5,1.2590205373074228,2.0,19.0,11.75,50.916666666666664,0.9734583120995157,1.0,21.0,8.75,86.91666666666667,-7.0,17.0,3.0,101.33333333333333,1.0993981563446316,1.0,25.0,11.0,101.33333333333333,27,18
